provincia,vab_inicial,vab_final,anio_inicial,anio_final,crecimiento_acumulado_pct,crecimiento_anual_promedio_pct
Santiago del Estero,5165.689413779487,10959.116010394337,2004,2022,112.1520504341758,4.267045725145269
Jujuy,3654.786490448761,6528.855601065838,2004,2022,78.63849552164066,3.275810989389738
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3329.921293747206,5859.757660141521,2004,2022,75.97285771122402,3.189586341332662
Chaco,5596.916710129125,9739.434550716349,2004,2022,74.01428420562743,3.1254431347558675
La Pampa,3826.128184994525,6448.564536034809,2004,2022,68.54021152048875,2.9424833494502867
San Juan,4791.38168783071,7867.462874402562,2004,2022,64.20029517549337,2.793397037356038
Entre Ríos,10433.913892555716,16833.72398755037,2004,2022,61.33661980439311,2.692971255724297
Corrientes,4777.103157693821,7697.056281381382,2004,2022,61.12392860901057,2.685445410490983
Tucumán,7416.993102372293,11887.767267236322,2004,2022,60.2774480595657,2.6554003492868627
Córdoba,32365.857410813114,51702.63276934116,2004,2022,59.74436305854767,2.636401977272973
Formosa,2263.4084682685507,3605.803119916634,2004,2022,59.30854595922674,2.62082555258083
Neuquén,13372.499426450642,20644.76950003068,2004,2022,54.3822799438344,2.4419026792411147
Salta,7264.366344138984,11115.293091854894,2004,2022,53.01118590781017,2.391144854389138
Misiones,5385.670902209469,8042.837077644262,2004,2022,49.337700421774585,2.253005287548926
Buenos Aires,131865.78663682152,196508.6894162572,2004,2022,49.021739776574556,2.2409742968297675
Río Negro,5843.68911109249,8519.552117280595,2004,2022,45.79064620513063,2.1165402422181456
San Luis,4486.51860352124,6238.592350487654,2004,2022,39.05196660928365,1.8484174751856042
Ciudad Autónoma de Buenos Aires,85706.9389997919,119005.56797202496,2004,2022,38.85173051427482,1.8402640045898089
Santa Fe,34938.5999010332,48267.79001938352,2004,2022,38.15032701970451,1.8116155121513877
La Rioja,2520.3505146233074,3480.5758953062214,2004,2022,38.0988824812897,1.8095088807080772
Mendoza,16294.445001773262,19870.1112119676,2004,2022,21.94408100309775,1.1082763878143886
Chubut,9546.840944226207,11501.75619653268,2004,2022,20.477090418991196,1.040315306412798
Santa Cruz,7427.584790299608,8355.637817690827,2004,2022,12.494681024755883,0.6562313505115824
Catamarca,3857.95921624612,3822.779757561829,2004,2022,-0.9118670445283139,-0.050878719062430466
