provincia,macro_sector,anio,vab,participacion_pct
Buenos Aires,Industria manufacturera,2004,43772.66177579405,33.19485887294681
Buenos Aires,Comercio,2004,18983.730629880876,14.396251760257547
Buenos Aires,"Administración pública, salud y educación",2004,14299.741606837406,10.844163578397389
Buenos Aires,Servicios financieros e inmobiliarios,2004,13633.532091607762,10.338945710881466
Buenos Aires,"Agro, pesca y silvicultura",2004,12202.623834195709,9.253820983757977
Buenos Aires,Transporte y comunicaciones,2004,9772.646337500031,7.4110552757823305
Buenos Aires,Resto / no clasificado,2004,5302.569483703895,4.0211867072904814
Buenos Aires,Otros servicios,2004,4671.983159410345,3.542983573349242
Buenos Aires,Construcción,2004,4354.142771958701,3.3019503261681322
Buenos Aires,Minería y energía,2004,3314.7624589432653,2.5137395707293106
Buenos Aires,Hotelería y gastronomía,2004,1557.392486989451,1.181043640439311
Buenos Aires,Industria manufacturera,2005,47111.49709874431,32.65961241519841
Buenos Aires,Comercio,2005,21038.390273056943,14.584670716737504
Buenos Aires,"Administración pública, salud y educación",2005,15675.07521095157,10.866601838097983
Buenos Aires,"Agro, pesca y silvicultura",2005,14477.909069501002,10.036677412337879
Buenos Aires,Servicios financieros e inmobiliarios,2005,14145.333769465418,9.806122641911788
Buenos Aires,Transporte y comunicaciones,2005,11000.289410446621,7.625849542568957
Buenos Aires,Resto / no clasificado,2005,5711.764126237493,3.959627990147716
Buenos Aires,Otros servicios,2005,5169.662951393479,3.583821332526108
Buenos Aires,Construcción,2005,4536.59020307856,3.1449494676126752
Buenos Aires,Minería y energía,2005,3555.1018746273207,2.46454170366342
Buenos Aires,Hotelería y gastronomía,2005,1828.4049650204518,1.2675249391975696
Buenos Aires,Industria manufacturera,2006,51234.00218413125,33.12032953247214
Buenos Aires,Comercio,2006,23319.094256864508,15.074678011887723
Buenos Aires,"Administración pública, salud y educación",2006,15982.026518852275,10.331614988786601
Buenos Aires,Servicios financieros e inmobiliarios,2006,14814.478582522019,9.576851145485033
Buenos Aires,"Agro, pesca y silvicultura",2006,14057.309636994649,9.08737767242912
Buenos Aires,Transporte y comunicaciones,2006,12193.517680589584,7.882525403534418
Buenos Aires,Resto / no clasificado,2006,6268.370556051073,4.052201459919533
Buenos Aires,Otros servicios,2006,5713.488128729771,3.693496536212601
Buenos Aires,Construcción,2006,5286.914636183604,3.4177371959180305
