provincia,sector,anio,vab,nota_calidad
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2004,176.18755599680898,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2005,188.4620425049427,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2006,175.0233805320725,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2007,198.19708734897029,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2008,208.48495095176983,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2009,137.5952652409729,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2010,219.893398892808,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2011,205.09864926241215,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2012,177.65701646058264,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2013,194.40184466987677,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2014,196.58475217653796,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2015,206.83176665076684,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2016,202.72184216606803,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2017,214.53339374461723,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2018,176.2574721606851,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2019,214.36777142868812,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2020,193.84217252805576,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2021,195.97527318388723,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2022,194.3174799978789,definitivo
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2023,152.59920287136455,provisorio
Ciudad Autónoma de Buenos Aires,"Agricultura, ganaderia, caza y servicios conexos",2024,192.75478002041248,preliminar
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2004,0.19968781147607367,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2005,0.16923628980185143,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2006,0.19065367138425035,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2007,0.19877161143618127,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2008,0.18860323050673677,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2009,0.1912184678376086,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2010,0.20614253566485363,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2011,0.18420360433570826,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2012,0.22180676907629995,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2013,0.21630507896167728,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2014,0.24801773219092216,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2015,0.33284437740207173,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2016,0.3596973843448504,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2017,0.4014896722465709,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2018,0.43581873969458923,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2019,0.49011750666342546,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2020,0.4757879010232577,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2021,0.4682828699916872,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2022,0.35425364799058895,definitivo
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2023,0.47084350910094896,provisorio
Ciudad Autónoma de Buenos Aires,"Silvicultura, extracción de madera y servicios conexos",2024,0.660935788345686,preliminar
Ciudad Autónoma de Buenos Aires,Pesca,2004,37.17134196279472,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2005,36.583191465459855,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2006,46.52397469335633,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2007,44.771733610665635,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2008,45.7638075499827,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2009,32.035672429242375,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2010,30.70679129624033,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2011,29.307631982832397,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2012,27.1055599909456,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2013,24.63183155707119,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2014,25.27069020473551,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2015,23.353738172321115,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2016,23.81210384866738,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2017,24.268194329657124,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2018,24.94046918030359,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2019,26.482185304730937,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2020,21.970088359074047,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2021,23.89617437077469,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2022,28.479814317134384,definitivo
Ciudad Autónoma de Buenos Aires,Pesca,2023,24.79526442448257,provisorio
Ciudad Autónoma de Buenos Aires,Pesca,2024,32.52526501914358,preliminar
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2004,696.9500105980194,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2005,693.3226624945357,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2006,758.6657028799846,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2007,731.4967880300155,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2008,718.6249069606533,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2009,708.5460765116829,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2010,720.2406482417683,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2011,681.1584621520632,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2012,664.2975205762888,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2013,658.36106137387,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2014,666.5425150567347,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2015,674.5929255590075,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2016,620.088166189518,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2017,591.4700720530038,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2018,604.4734673221004,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2019,622.10308904109,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2020,522.3879000654276,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2021,584.3829941709392,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2022,655.6372637718929,definitivo
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2023,719.8749015613614,provisorio
Ciudad Autónoma de Buenos Aires,"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2024,778.1070794773127,preliminar
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2004,112.65134595955848,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2005,139.95500721025905,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2006,150.62191363096218,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2007,119.18062284087674,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2008,126.58582331251964,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2009,149.829370364113,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2010,161.09704803065452,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2011,151.0149417817433,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2012,131.6565304277939,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2013,101.08511402186704,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2014,101.26931965856957,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2015,101.89864680604941,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2016,98.78833757845828,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2017,102.66953657916159,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2018,122.9372258884902,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2019,133.8002549596112,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2020,113.01660156177702,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2021,129.0970952652384,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2022,138.96542187933537,definitivo
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2023,129.2607161319288,provisorio
Ciudad Autónoma de Buenos Aires,Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2024,111.07193211503662,preliminar
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2004,2432.8263962808383,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2005,2545.5988893234153,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2006,2712.4570330630827,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2007,2832.6086203118325,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2008,2873.324668978023,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2009,2866.680781755489,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2010,2820.669572690355,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2011,2940.2209590651314,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2012,2849.54337606356,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2013,2733.311021422681,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2014,2763.4283099778745,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2015,2908.1032266681104,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2016,2809.5416432014044,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2017,2788.8079746188314,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2018,2744.0419397791325,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2019,2714.2412110993573,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2020,2703.8310129383162,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2021,2861.4408907282004,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2022,3029.1762983957087,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2023,3006.1195028471357,provisorio
Ciudad Autónoma de Buenos Aires,Elaboración de productos alimenticios y bebidas,2024,2882.132208801806,preliminar
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2004,78.23944435893144,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2005,75.37873764412146,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2006,69.9475735371696,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2007,64.91456011976187,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2008,70.25470403660918,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2009,64.85715125592097,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2010,64.4940780964264,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2011,61.090869062763026,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2012,57.19002945324313,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2013,54.30476573343272,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2014,84.9995121990909,definitivo
Ciudad Autónoma de Buenos Aires,Elaboración de productos de tabaco,2015,84.15571220840975,definitivo
