provincia,anio,vab,nota_calidad,es_jurisdiccion
Ciudad Autónoma de Buenos Aires,2004,85706.9389997919,definitivo,True
Ciudad Autónoma de Buenos Aires,2005,93469.95463675624,definitivo,True
Ciudad Autónoma de Buenos Aires,2006,101611.08377406489,definitivo,True
Ciudad Autónoma de Buenos Aires,2007,112043.00268777998,definitivo,True
Ciudad Autónoma de Buenos Aires,2008,117138.63951063761,definitivo,True
Ciudad Autónoma de Buenos Aires,2009,113930.44540423095,definitivo,True
Ciudad Autónoma de Buenos Aires,2010,120655.15237519846,definitivo,True
Ciudad Autónoma de Buenos Aires,2011,126646.75399574771,definitivo,True
Ciudad Autónoma de Buenos Aires,2012,124780.94368182396,definitivo,True
Ciudad Autónoma de Buenos Aires,2013,124883.37075653736,definitivo,True
Ciudad Autónoma de Buenos Aires,2014,122315.64532211226,definitivo,True
Ciudad Autónoma de Buenos Aires,2015,124107.99636069647,definitivo,True
Ciudad Autónoma de Buenos Aires,2016,123069.3193121094,definitivo,True
Ciudad Autónoma de Buenos Aires,2017,125851.40755819698,definitivo,True
Ciudad Autónoma de Buenos Aires,2018,123960.27416433953,definitivo,True
Ciudad Autónoma de Buenos Aires,2019,118127.08174770727,definitivo,True
Ciudad Autónoma de Buenos Aires,2020,103866.38057701517,definitivo,True
Ciudad Autónoma de Buenos Aires,2021,113287.49564844577,definitivo,True
Ciudad Autónoma de Buenos Aires,2022,119005.56797202495,definitivo,True
Ciudad Autónoma de Buenos Aires,2023,119458.5003126663,preliminar,True
Ciudad Autónoma de Buenos Aires,2024,116846.20098676288,preliminar,True
Buenos Aires,2004,131865.78663682152,definitivo,True
Buenos Aires,2005,144250.01895252315,definitivo,True
Buenos Aires,2006,154690.49646350878,definitivo,True
Buenos Aires,2007,165798.93687057696,definitivo,True
Buenos Aires,2008,173707.72288392414,definitivo,True
Buenos Aires,2009,162737.5434161138,definitivo,True
Buenos Aires,2010,182269.3369398631,definitivo,True
Buenos Aires,2011,193638.31651528747,definitivo,True
Buenos Aires,2012,192659.46734677398,definitivo,True
Buenos Aires,2013,196304.06117072958,definitivo,True
Buenos Aires,2014,189414.5634270474,definitivo,True
Buenos Aires,2015,195353.40957580582,definitivo,True
Buenos Aires,2016,191212.38691017134,definitivo,True
Buenos Aires,2017,196053.73863809937,definitivo,True
Buenos Aires,2018,189705.0682805702,definitivo,True
Buenos Aires,2019,184883.6551682327,definitivo,True
Buenos Aires,2020,168105.96143604463,definitivo,True
Buenos Aires,2021,186413.45193394093,definitivo,True
Buenos Aires,2022,196508.6894162572,definitivo,True
Buenos Aires,2023,192891.54745112275,preliminar,True
Buenos Aires,2024,187017.27381535503,preliminar,True
Catamarca,2004,3857.9592162461195,definitivo,True
Catamarca,2005,4350.107767745429,definitivo,True
Catamarca,2006,4586.26669650945,definitivo,True
Catamarca,2007,4735.1555228953175,definitivo,True
Catamarca,2008,4556.185409043034,definitivo,True
Catamarca,2009,4158.00598505981,definitivo,True
Catamarca,2010,4259.239751162789,definitivo,True
Catamarca,2011,4231.855095013622,definitivo,True
Catamarca,2012,4326.0939064183685,definitivo,True
Catamarca,2013,4137.89863174401,definitivo,True
Catamarca,2014,4262.849545695976,definitivo,True
Catamarca,2015,3854.91070259197,definitivo,True
Catamarca,2016,3857.152776644036,definitivo,True
Catamarca,2017,3797.491593175459,definitivo,True
Catamarca,2018,3624.651487861098,definitivo,True
Catamarca,2019,3277.558444053587,definitivo,True
Catamarca,2020,2953.1807741783996,definitivo,True
Catamarca,2021,3437.1302025660716,definitivo,True
Catamarca,2022,3822.779757561829,definitivo,True
Catamarca,2023,4048.4053185037333,preliminar,True
Catamarca,2024,3832.286397516088,preliminar,True
Córdoba,2004,32365.857410813114,definitivo,True
Córdoba,2005,37648.155520788496,definitivo,True
Córdoba,2006,39985.421064467555,definitivo,True
Córdoba,2007,45319.75497996535,definitivo,True
Córdoba,2008,46370.611280916615,definitivo,True
Córdoba,2009,42137.318995895934,definitivo,True
Córdoba,2010,47523.281492977934,definitivo,True
Córdoba,2011,49660.89707397726,definitivo,True
Córdoba,2012,47383.62463873099,definitivo,True
Córdoba,2013,50922.60688500581,definitivo,True
Córdoba,2014,50256.4252599618,definitivo,True
Córdoba,2015,52252.09352634015,definitivo,True
Córdoba,2016,51437.99550003343,definitivo,True
Córdoba,2017,52518.31448647719,definitivo,True
Córdoba,2018,49072.85101576058,definitivo,True
Córdoba,2019,50229.88011390725,definitivo,True
Córdoba,2020,44697.155085211205,definitivo,True
Córdoba,2021,50123.286198128015,definitivo,True
Córdoba,2022,51702.63276934116,definitivo,True
Córdoba,2023,48101.89569042923,preliminar,True
Córdoba,2024,50276.79501840831,preliminar,True
Corrientes,2004,4777.103157693821,definitivo,True
Corrientes,2005,5419.832134179635,definitivo,True
Corrientes,2006,5703.463900320446,definitivo,True
Corrientes,2007,6085.322433315801,definitivo,True
Corrientes,2008,6342.719388541876,definitivo,True
Corrientes,2009,6146.157797992931,definitivo,True
Corrientes,2010,6496.763868723676,definitivo,True
Corrientes,2011,7129.12807891337,definitivo,True
Corrientes,2012,7167.112387447052,definitivo,True
Corrientes,2013,7353.947986551493,definitivo,True
Corrientes,2014,7382.1606140320755,definitivo,True
Corrientes,2015,7585.72312320897,definitivo,True
Corrientes,2016,7432.8506902449035,definitivo,True
Corrientes,2017,7791.113605031898,definitivo,True
Corrientes,2018,7884.82674201752,definitivo,True
Corrientes,2019,7604.429120971795,definitivo,True
Corrientes,2020,6947.5453635091035,definitivo,True
Corrientes,2021,7580.6236657994,definitivo,True
Corrientes,2022,7697.056281381382,definitivo,True
Corrientes,2023,7850.578862537045,preliminar,True
Corrientes,2024,7438.085809116307,preliminar,True
Chaco,2004,5596.916710129125,definitivo,True
Chaco,2005,6254.400273992606,definitivo,True
Chaco,2006,6857.731823114191,definitivo,True
Chaco,2007,7474.246982776608,definitivo,True
Chaco,2008,7893.518770556104,definitivo,True
Chaco,2009,7518.486481732506,definitivo,True
Chaco,2010,8467.187833029226,definitivo,True
Chaco,2011,9356.357508237112,definitivo,True
Chaco,2012,8524.385441823111,definitivo,True
Chaco,2013,8943.206457758806,definitivo,True
Chaco,2014,9653.221992207664,definitivo,True
Chaco,2015,9543.211289147108,definitivo,True
Chaco,2016,9428.18462037238,definitivo,True
Chaco,2017,9798.786524271296,definitivo,True
Chaco,2018,9671.31288773196,definitivo,True
Chaco,2019,9144.803921101597,definitivo,True
Chaco,2020,8583.459784442299,definitivo,True
Chaco,2021,9152.087080185787,definitivo,True
Chaco,2022,9739.434550716349,definitivo,True
Chaco,2023,9482.39673646194,preliminar,True
Chaco,2024,8880.840541586334,preliminar,True
Chubut,2004,9546.840944226207,definitivo,True
Chubut,2005,9965.913162858922,definitivo,True
Chubut,2006,10999.771078496582,definitivo,True
Chubut,2007,11203.803748440941,definitivo,True
Chubut,2008,11326.755684149422,definitivo,True
Chubut,2009,10719.481416880755,definitivo,True
Chubut,2010,11458.768602323511,definitivo,True
Chubut,2011,11917.564547769187,definitivo,True
Chubut,2012,11490.864972529298,definitivo,True
Chubut,2013,11845.076630322816,definitivo,True
Chubut,2014,12152.82607243248,definitivo,True
Chubut,2015,12251.615443188415,definitivo,True
Chubut,2016,11777.009342325913,definitivo,True
Chubut,2017,12100.409690285169,definitivo,True
Chubut,2018,12044.510981881389,definitivo,True
Chubut,2019,12183.356594889361,definitivo,True
Chubut,2020,10929.786902813854,definitivo,True
Chubut,2021,11358.586046406142,definitivo,True
Chubut,2022,11501.75619653268,definitivo,True
Chubut,2023,11255.774276489497,preliminar,True
Chubut,2024,11000.363878768272,preliminar,True
Entre Ríos,2004,10433.913892555716,definitivo,True
Entre Ríos,2005,11704.259827443106,definitivo,True
Entre Ríos,2006,12458.141764772166,definitivo,True
Entre Ríos,2007,13767.910105556337,definitivo,True
Entre Ríos,2008,14105.849672978104,definitivo,True
Entre Ríos,2009,13016.476178825575,definitivo,True
Entre Ríos,2010,14954.00838510851,definitivo,True
Entre Ríos,2011,15653.316549820927,definitivo,True
Entre Ríos,2012,15594.778391664344,definitivo,True
Entre Ríos,2013,16112.887389498033,definitivo,True
Entre Ríos,2014,15885.138940041172,definitivo,True
Entre Ríos,2015,16447.984584973347,definitivo,True
Entre Ríos,2016,15682.531774171624,definitivo,True
Entre Ríos,2017,16467.48357522382,definitivo,True
Entre Ríos,2018,15820.865060167771,definitivo,True
Entre Ríos,2019,16066.89715236685,definitivo,True
Entre Ríos,2020,14987.102614707153,definitivo,True
Entre Ríos,2021,15986.06468875553,definitivo,True
Entre Ríos,2022,16833.72398755037,definitivo,True
Entre Ríos,2023,16142.897033628187,preliminar,True
Entre Ríos,2024,16212.166683978494,preliminar,True
Formosa,2004,2263.4084682685507,definitivo,True
Formosa,2005,2557.5067338857157,definitivo,True
Formosa,2006,2734.846049350176,definitivo,True
Formosa,2007,2961.4454999743602,definitivo,True
Formosa,2008,2948.366633568504,definitivo,True
Formosa,2009,2946.3809133516593,definitivo,True
Formosa,2010,3100.304626819277,definitivo,True
Formosa,2011,3372.5592326134715,definitivo,True
Formosa,2012,3375.438269871582,definitivo,True
Formosa,2013,3460.1020785069295,definitivo,True
Formosa,2014,3418.323951755052,definitivo,True
Formosa,2015,3621.6033192418,definitivo,True
Formosa,2016,3607.7142746786067,definitivo,True
Formosa,2017,3700.0834987469166,definitivo,True
Formosa,2018,3680.882784255223,definitivo,True
Formosa,2019,3469.3401976060713,definitivo,True
Formosa,2020,3243.850716685512,definitivo,True
Formosa,2021,3601.511845020573,definitivo,True
Formosa,2022,3605.803119916634,definitivo,True
Formosa,2023,3517.555869714982,preliminar,True
Formosa,2024,3063.5434293604717,preliminar,True
Jujuy,2004,3654.7864904487606,definitivo,True
Jujuy,2005,3855.4124577396296,definitivo,True
Jujuy,2006,4096.550150536816,definitivo,True
Jujuy,2007,4430.736790754397,definitivo,True
Jujuy,2008,4639.601079863431,definitivo,True
Jujuy,2009,4582.224554277871,definitivo,True
Jujuy,2010,5060.902525108878,definitivo,True
Jujuy,2011,5317.735136918633,definitivo,True
Jujuy,2012,5446.2816960193895,definitivo,True
Jujuy,2013,5467.744686933372,definitivo,True
Jujuy,2014,5513.580542780318,definitivo,True
Jujuy,2015,5771.744856525733,definitivo,True
Jujuy,2016,5561.802770859292,definitivo,True
